型式,測照地點,測照方向,管轄分局
線圈數位,明誠三路與南屏路口,西向東,鼓山分局
非線圈數位-雷射,民族一路與十全一路口,北向南,三民一分局
線圈數位,大順二路與建德路口,北向南,三民二分局
線圈數位,大順一路與龍德路口,東向西,鼓山分局
線圈數位,建國路與武廟路口,東向西,苓雅分局
線圈數位,旗楠路與土庫路口,北向南,楠梓分局
線圈數位,九如一路與平等路口,西向東,三民二分局
線圈數位,民生一路與仁愛二街口,西向東,新興分局
線圈數位,一心一路與和平二路口,西向東,前鎮分局
線圈數位,保泰路與瑞隆路口,南向北,前鎮分局
線圈數位,德中路與大學二十九路口,東向西,楠梓分局
線圈數位,博愛三路與崇德路口,南向北,左營分局
線圈數位,高坪22路與27街口,東向西,小港分局
線圈數位,新庄仔路與自由二路口,西向東,左營分局
線圈數位,九如路與中庸路口,西向東,三民一分局
線圈數位,凱旋三路與二聖一路口,北向南,前鎮分局
線圈數位,五福三路與英雄路口,東向西,苓雅分局
非線圈數位-雷射,建國一路與正義路口,西向東,苓雅分局
線圈數位,同盟一路高醫大門,西向東,三民一分局
線圈數位,河堤路與民族一路543巷口,北向南,三民二分局
雷達數位,德民路與海專路口,西向東,楠梓分局
線圈數位,旗楠路與常德路口,東向西,楠梓分局
線圈數位,華夏路與新莊仔路口,南向北,左營分局
線圈數位,中山三路與文橫路口,南向北,前鎮分局
線圈數位,沿海三路與友成巷口,南向北,小港分局
線圈數位,明誠三路與南屏路口,東向西,鼓山分局
雷達數位,民族一路268號前,南向北,三民二分局
雷達數位,中華一路403號前,南向北,鼓山分局
雷達數位,中山二路361號前,北向南,苓雅分局
雷達數位,大順一路新上國小前,東向西,三民二分局
雷達數位,中山二路432號前,南向北,苓雅分局
雷達數位,高松路與松正路口,東向西,小港分局
線圈數位,凱旋四路與中華五路口,西向東,前鎮分局
線圈數位,九如一路與大順二路口,東向西,三民二分局
線圈數位,中山高西側便道與九如一路口,北向南,三民二分局
線圈數位,九如一路與中山高東側便道,東向西,三民二分局
線圈數位,武營路與三多一路口,南向北,苓雅分局
線圈數位,博愛三路與文自路口,北向南,左營分局
線圈數位,五福一路與凱旋二路口,西向東,苓雅分局
線圈數位,大昌二路420巷口,南向北,三民二分局
線圈數位,左楠路與後昌路口,南向北,楠梓分局
線圈數位,民族一路與承德路口,南向北,三民二分局
線圈數位,建國一路與中山高涵洞東側,西向北,苓雅分局
雷達數位,建工、新民路口往東20公尺處,西向東,三民二分局
雷達數位,九如一路光武國小旁,東向西,三民二分局
雷達數位,翠華路1401號前,北向南,左營分局
雷達數位,明誠一路280號前,東向西,三民二分局
雷達數位,明誠一路528號對面,西向東,三民二分局
雷達數位,加昌路367號前,東西向,楠梓分局
雷達數位,高楠公路1015-6號前,南向北,楠梓分局
雷達數位,九如三路(中都街與九如大橋中段),東向西,三民一分局
雷達數位,鼎力陸橋（往高雄市區方向）,東向西,三民二分局
線圈數位,馬卡道路（明誠路-美術館路間）,南向北,鼓山分局
雷達數位,中正一路802國軍總醫院旁,西向東,苓雅分局
線圈數位,中山三路與正勤路口,北向南,前鎮分局
雷達數位,大貨車專用道（南下方向),東向西,前鎮分局
雷達數位,大貨車專用道（北上方向),南向北,前鎮分局
雷達數位,高楠公路與德民路口以北135公尺處,南向北,楠梓分局
線圈數位,左楠路與加昌路口,南向北,楠梓分局
線圈數位,鳳山區鳳頂路與田中央路口,南向北,鳳山分局
線圈數位,鳳山區建國路三段與青年路二段口,東向西,鳳山分局
線圈數位,鳳山區鳳頂路過埤路口,西向東,鳳山分局
線圈數位,鳳山區南華一路保安二街口,東向西,鳳山分局
線圈數位,鳳山區建國路二段經武路口,西向東,鳳山分局
線圈數位,鳥松區中正路台亞加油站前,南向北,仁武分局
線圈數位,仁武區高楠公路高楠新村口（機車道）,北向南,仁武分局
線圈數位,仁武區澄觀路八德南路口,東向西,仁武分局
線圈數位,仁武區鳳仁路新庄路口,北向南,仁武分局
雷達數位,仁武區義大二路與公館1巷3號前,北向南,仁武分局
線圈數位,大寮區鳳林二路與濃公路口,北向南,林園分局
雷達數位,大寮區高屏大橋下橋處,東向西,林園分局
線圈數位,大寮區鳳屏一路民貴街口,東向西,林園分局
線圈數位,大寮區鳳屏二路江山路口,西向東,林園分局
線圈數位,林園區沿海路二段與林園南路口,西向東,林園分局
雷達數位,林園區台25線14.5公里處,北向南,林園分局
雷達數位,大寮區台29線108.4公里處,北向南,林園分局
雷達數位,大寮區台29線96.5公里處,南向北,林園分局
雷達數位,台88快速道東向7.4公里處,西向東,林園分局
雷達數位,台88快速道西向10公里處大發交流道前,東向西,林園分局
線圈數位,岡山區田厝路與田厝一路口,南向北,岡山分局
線圈數位,燕巢區樹德科技前,東向西,岡山分局
線圈數位,橋頭區成功南路仕隆路口,北向南,岡山分局
線圈數位,橋頭區成功北路筆秀路口,南向北,岡山分局
線圈數位,永安區保安路與維新路口,南向北,岡山分局
線圈數位,路竹區環球路與路新生路口,東向西,湖內分局
線圈數位,路竹區大公路成功路口,北向南,湖內分局
雷達數位,美濃區美興街232號前(月光山隧道前方),南向北,旗山分局
線圈數位,美濃區中山路二段359巷口,南向北,旗山分局
線圈數位,杉林區台29線與清水路中學巷路口(杉林國中前),北向南,旗山分局
非線圈數位-攝影,南星路與中林路口,北向南,小港分局
非線圈數位-攝影,南星路與中林路口,南向北,小港分局
雷達數位,中華一路890號前,北向南,鼓山分局
雷達數位,仁武區鳳仁路5-13號前,南向北,仁武分局
雷達數位,仁武區水管路三段(高52-1線4K處),東向西,仁武分局
雷達數位,仁武區澄觀路一段(新庄路以西150公尺處),北向南,仁武分局
線圈數位,鳳山區建國路三段與澄清路口,東向西,鳳山分局
線圈數位,路竹區中山南路與北嶺二路口,南向北,湖內分局
線圈數位,燕巢區台22線高應大前,東向西,岡山分局
雷達數位,林園區中門路與南星路口(快車道),南向北,林園分局
雷達數位,林園區中門路與南星路口(慢車道),南向北,林園分局
雷達數位,沿海一路與中鋼路口(北上),南向北,小港分局
雷達數位,沿海一路與中鋼路口（南下）,北向南,小港分局
雷達數位,燕巢區旗楠路段(鳳旗路44號之10旁),東向西,岡山分局
線圈數位,民族一路與裕誠路口（機車道）,南向北,三民二分局
雷達數位,大中一路與鼎中路口東向西左側,東向西,左營分局
雷達數位,大中一路與鼎中路口東向西右側,東向西,左營分局
非線圈數位-攝影,大中一路與鼎中路口西向東,東向西,左營分局
非線圈數位-雷射,岡山區嘉新東路與聖森路口,西向東,岡山分局
線圈數位,大寮區鳳林一路與鳳林路四段,北向南,林園分局
線圈數位,鳳山區中山東路與光遠路口,南向北,鳳山分局
線圈數位,鳳山區中山東路與仁愛路口,北向南,鳳山分局
線圈數位,創新路與土庫路口,西向東,楠梓分局
雷達數位,鳳山區鳳頂路(台糖加油站對面),北向南,鳳山分局
線圈數位,燕巢區中興路與南一巷口(燕巢國中前),北向南,岡山分局
雷達數位,旗山區台28線29.2公里處,西向東,旗山分局
雷達數位,中正地下道(東向西出口)(超速),東向西,苓雅分局
非線圈數位-雷射,中正地下道(東向西出口)(變換車道),東向西,苓雅分局
雷達數位,中正地下道(西向東出口)(超速),西向東,苓雅分局
非線圈數位-雷射,中正地下道(西向東出口)(變換車道),西向東,苓雅分局
非線圈數位-雷射,中山四路地下道(北向南出口)(變換車道),北向南,前鎮分局
非線圈數位-雷射,中山四路地下道(南向北出口)(變換車道),南向北,前鎮分局
雷達數位,東亞南路與平和二路口,南向北,小港分局
雷達數位,東亞南路與平和七路口,北向南,小港分局
非線圈數位-雷射,旗山區延平一路與旗甲路一段路口,北向南,旗山分局
非線圈數位-雷射,仁武區仁雄路與澄仁路口(兼測速),西向東,仁武分局
非線圈數位-雷射,大寮區內坑路與仁德路口(兼測速),東向西,林園分局
非線圈數位-雷射,岡山區介壽東路與和平路口(兼測速),東向西,岡山分局
線圈數位,湖內區中山路一段與284巷口,南向北,湖內分局
雷達數位,鳳山區維武路陸軍官校側門以北50公尺處,北向南,鳳山分局
雷達數位,橋頭區白樹路206號前,西向東,岡山分局
雷達數位,岡山區岡山北路267號前,北向南,岡山分局
雷達數位,岡山區嘉峰路高鐵橋下,北向南,岡山分局
雷達數位,大社區和平路一段710-1號前,東向西,仁武分局
雷達數位,大寮區新厝路119-31號以西60公尺處,西向東,林園分局
雷達數位,田寮區台28線鹿埔路19號前,西向東,湖內分局
雷達數位,旗山區旗南三路8號以北50公尺處,北向南,旗山分局
雷達數位,美濃區復興街一段480號前,北向南,旗山分局
雷達數位,六龜區旗六公路新威國小前,西向東,六龜分局
雷達數位,南星三路段(沿海路以北700公尺處),北向南,小港分局
非線圈數位-攝影,中安路與明聖街230巷口,西向東,小港分局
非線圈數位-攝影,沿海一路與宏平路口,南向北,小港分局
非線圈數位-攝影,凱旋四路與凱旋四路424巷口,西向東,前鎮分局
非線圈數位-攝影,大寮區內坑路161之21號前路口,西向東,林園分局
非線圈數位-攝影,大社區和平路二段與中華路14巷口,東向西,仁武分局
非線圈數位-攝影,燕巢區台22線深水國小前路口,東向西,岡山分局
非線圈數位-攝影,鳳山區國泰路一段與鳳頂路口,西向東,鳳山分局
雷達數位,中山四路段(平和東路以北50公尺處),北向南,小港分局
非線圈數位-雷射,南星路與丹山路口,北向南,小港分局
雷達數位,沿海三路與鳳鳴路口,北向南,小港分局
非線圈數位-雷射,成功二路、興發路口,北向南,前鎮分局
非線圈數位-雷射,凱旋四路、中山四路口,西向東,前鎮分局
非線圈數位-雷射,中華五路與復興三路口,南向北,前鎮分局
非線圈數位-雷射,中山四路與中平路口,北向南,前鎮分局
非線圈數位-雷達,橋頭區成功北路與新興路,北向南,岡山分局
非線圈數位-雷達,橋頭區成功北路與鐵道北路,北向南,岡山分局
非線圈數位-雷射,九如一路與大昌二路口,西向東,三民二分局
非線圈數位-雷達,仁武區鳳仁路與成功路口,南向北,仁武分局
非線圈數位-雷達,鳳山區南華一路與和成路,西向東,鳳山分局
非線圈數位-雷達,路竹區環球路與樹人醫事學校前路口,西向東,湖內分局
非線圈數位-雷射,茄萣區高1-1線與崎漏路口,東向西,湖內分局
非線圈數位-雷達,美濃區中華路(台28線)與獅山街口,東向西,旗山分局
非線圈數位-雷達,旗山區中華路與華中街口,西向東,旗山分局
雷達數位,燕巢區鳳澄路7之32號前,北向南,岡山分局
雷達數位,大昌二路28號前,南向北,三民二分局
雷達數位,大寮區河堤路三段與公園街口前,北向南,林園分局
雷達數位,鳳山區溪濱路與園墘路口前,南向北,鳳山分局
雷達數位,高坪18路與高坪15路口,西向東,小港分局
雷達數位,內門區旗文路(台三線401.88K),北向南,旗山分局
雷達數位,美濃區中華路77號對面(台28線40.7K),西向東,旗山分局
非線圈數位-雷達,鳳山區國泰路二段與南京路口,北向南,鳳山分局
非線圈數位-雷射,民族一路與建工路口,南向北,三民二分局
非線圈數位-雷達,湖內區和平路與東方路口,南向北,湖內分局
非線圈數位-雷達,路竹區中山南路47號前路口,南向北,湖內分局
非線圈數位-雷達,中華一路與大順一路口,南向北,鼓山分局
非線圈數位-雷達,鳳山區鳳頂路與過埤路口,北向南,鳳山分局
非線圈數位-雷達,中山三路與凱旋四路,南向北,前鎮分局
非線圈數位-雷達,中山四路與金福路口,北向南,前鎮分局
非線圈數位-雷達,中山四路與中安路口,南向北,前鎮分局
非線圈數位-雷達,水管路三段與澄觀路二段路口,東向西,仁武分局
非線圈數位-雷達,高楠公路與德民路口,南向北,楠梓分局
非線圈數位-雷達,大中二路與華夏路口,西向東,左營分局
雷達數位,鳥松區松藝路段路燈1454號對面,北向南,仁武分局
雷達數位,仁武區鳳仁路183線2.45公里中央分隔島,北向南,仁武分局
雷達數位,大社區中山路521-9號旁,東向西,仁武分局
雷達數位,高鳳路82-76號,南向北,小港分局
雷達數位,路竹區台28線8K處環球路18號旁,東向西,湖內分局
雷達數位,中山一路與民生一路,北向南,新興分局
線圈數位,中華一路與美術北三路口,北向南,鼓山分局
線圈數位,中山四路與鎮海路口,北向南,前鎮分局
線圈數位,中山四路與大業北路口,北向南,小港分局
線圈數位,高楠公路與水管路口(機車道),北向南,楠梓分局
線圈數位,民族一路與裕誠路口,北向南,三民二分局
線圈數位,自由一路與同盟一路口,北向南,三民一分局
線圈數位,五福一路與和平一路口,西向東,苓雅分局
線圈數位,澄清路與澄和路口,北向南,三民二分局
線圈數位,中華三路與民生二路口,北向南,新興分局
線圈數位,明誠一路與大裕路口,西向東,三民二分局
線圈數位,華夏路337巷口,南向北,左營分局
線圈數位,大中二路與自由四路口,東向西,左營分局
雷達數位,翠華路1686之1號前,南向北,左營分局
雷達數位,大中高架道路華夏匝道口,西向東,左營分局
雷達數位,大中高架道路文川匝道口,東向西,左營分局
雷達數位,同盟三路與十全三路口往西220公尺處,東向西,三民一分局
線圈數位,楠陽路與鳳楠路口,西向東,楠梓分局
線圈數位,高鐵路與曾子路口,北向南,左營分局
線圈數位,高楠公路金屬研發中心前,南向北,楠梓分局
線圈數位,一心一路與光華二路口,東向西,前鎮分局
線圈數位,三多二路與桂林街口,西向東,前鎮分局
雷達數位,鼓山三路與青峰路口,北向南,鼓山分局
雷達數位,中安路223號前,東向西,小港分局
線圈數位,公園二路與五福三路口,南向北,鹽埕分局
線圈數位,保泰路與公正路口,東向西,前鎮分局
非線圈數位-雷射,凱旋四路與籬仔內路口(104年新設),南向北,前鎮分局
,106年起:總計213桿(澄清、覺民拆除)，181台主機,,
